源表行号,任务名称,需求场景,PRD,自动创建子任务,关联项目,优先级,需求来源,需求状态,需求负责 PM,需求群,建群按钮,其他,推进版本（自动查询）,②版本开发计划-关联需求,项目汇总-项目关联需求（需求池中需求）,关联父任务,Epic,阶段,范围分级,验收标准,需求ID,依赖项,阻塞原因,来源类型补充,一期口径,是否MVP必需,负责人角色建议,事实来源,验收补充,风险与阻塞补充,本地来源文档,完善动作,本地MVP映射,AI执行判断,AI下一步动作,AI输出位置,AI验证方式,人工确认点
2,六维达康项目管理总表,统一管理项目、模块、任务、硬件确认、联调验收和支付阻塞项,来源：六维达康项目资料；需求编号：REQ-001,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,项目管理底座与敏捷需求池,六维达康水站项目（需求池完善副本）,,项目管理底座,一期,一期必需,8 张核心表、任务看板、硬件确认看板、验收看板可用,REQ-001,飞书多维表格权限,,仓库MVP,30天MVP,是,产品,人工运营,副本中能区分 73 条商业需求与 36 条 MVP 执行需求；后端、飞书、n8n 边界清晰。,无新增阻塞；按补充验收执行。,`water-station/docs/README.md`、协作规则,补后端事实来源、飞书只管协作、n8n 后置边界,"R1,R6,R12,R33,R35",可直接执行,"按 R1,R6,R12,R33,R35 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/docs/planning/；water-station/docs/collaboration/；water-station/docs/README.md,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
3,敏捷需求池建立,把客户沟通内容沉淀为需求池，后续再按版本和任务拆分,来源：六维达康项目资料；需求编号：REQ-002,0,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,项目管理底座与敏捷需求池,六维达康水站项目（需求池完善副本）,,项目管理底座,一期,一期必需,需求池覆盖一期/二期/三期、依赖池、风险池和字段结构,REQ-002,六维达康客户资料,,仓库MVP,30天MVP,是,产品,飞书协作,副本中能区分 73 条商业需求与 36 条 MVP 执行需求；后端、飞书、n8n 边界清晰。,无新增阻塞；按补充验收执行。,需求池规则、整理记录,补 73 商业需求与 36 MVP 执行需求的双层口径,"R2,R12",可直接执行,"按 R2,R12 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/docs/planning/；water-station/docs/collaboration/；water-station/docs/README.md,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
4,微信登录与手机号绑定,用户通过微信登录并绑定手机号，便于购卡、充值、取水和配送,来源：六维达康项目资料；需求编号：REQ-003,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,用户登录、扫码取水与水卡权益,六维达康水站项目（需求池完善副本）,,用户端,一期,一期必需,用户可登录、绑定手机号，后台可查用户身份,REQ-003,微信小程序 AppID、手机号授权能力,,仓库MVP,30天MVP,是,后端,后端数据库,一期先 mock 登录，真实微信登录进二期或商业一期联调,无新增阻塞；按补充验收执行。,MVP PRD、用户端方案,一期先 mock 登录，真实微信登录进二期或商业一期联调,"R3,R13",可直接执行,"按 R3,R13 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/apps/miniprogram/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
5,扫码识别设备和出水口,扫码后识别对应水站、设备、出水口和机主/渠道归属,来源：六维达康项目资料；需求编号：REQ-004,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,用户登录、扫码取水与水卡权益,六维达康水站项目（需求池完善副本）,,用户端,一期,一期必需,扫码后能准确定位设备和出水口，异常码有提示,REQ-004,二维码样例、二维码解析规则、设备编号规则,,仓库MVP,30天MVP,是,后端,后端数据库,补设备码/二维码识别、离线/故障阻断、后台追踪,无新增阻塞；按补充验收执行。,扫码取水联动、MVP 状态机,补设备码/二维码识别、离线/故障阻断、后台追踪,"R3,R7,R15",可直接执行,"按 R3,R7,R15 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/apps/miniprogram/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
6,选择水种和水量,用户选择水种、水量并看到价格,来源：六维达康项目资料；需求编号：REQ-005,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,用户登录、扫码取水与水卡权益,六维达康水站项目（需求池完善副本）,,用户端,一期,一期必需,用户可选择水种/水量，价格计算正确,REQ-005,水种定义、价格规则、设备水种能力,,正式PRD,骨架方案,骨架,产品,人工运营,补 8 种水定义待甲方确认，MVP 可用占位水种,MVP 只做模型、页面或字段骨架，真实业务闭环需二次评审。,多品类水管理、价格配置,补 8 种水定义待甲方确认，MVP 可用占位水种,R17,可直接执行,按 R17 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/apps/miniprogram/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
7,水卡余额与权益校验,用户使用水卡或余额完成取水，系统校验余额和权益,来源：六维达康项目资料；需求编号：REQ-006,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,用户登录、扫码取水与水卡权益,六维达康水站项目（需求池完善副本）,,用户端,一期,一期必需,余额不足、卡不可用、权益不足均能拦截,REQ-006,水卡套餐规则、余额规则,,正式PRD,骨架方案,骨架,支付财务,微信支付,补虚拟卡/实体卡统一账户、真实扣费不进 30 天 MVP,MVP 只做模型、页面或字段骨架，真实业务闭环需二次评审。,在线购卡充值、三账户,补虚拟卡/实体卡统一账户、真实扣费不进 30 天 MVP,"R17,R18",可直接执行,"按 R17,R18 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/apps/miniprogram/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
8,购卡充值,用户在线购买水卡或充值余额,来源：六维达康项目资料；需求编号：REQ-007,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,用户登录、扫码取水与水卡权益,六维达康水站项目（需求池完善副本）,,用户端,一期,一期必需,支付成功后水卡/余额到账，流水可查,REQ-007,微信支付、小程序 AppID、商户号,,报价商务,商业一期,否,支付财务,微信支付,补微信商户号、回调验签、退款、对账、幂等阻塞,无新增阻塞；按补充验收执行。,支付与分账、报价材料,补微信商户号、回调验签、退款、对账、幂等阻塞,"R17,R30",可直接执行,"按 R17,R30 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/apps/miniprogram/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
9,消费记录查询,用户查看取水、充值、配送等消费记录,来源：六维达康项目资料；需求编号：REQ-008,,六维达康水站项目（需求池完善副本）,P1,客户反馈,收集需求,,,建群,,,用户登录、扫码取水与水卡权益,六维达康水站项目（需求池完善副本）,,用户端,一期,一期重要,可按时间查看消费记录和订单状态,REQ-008,订单流水模型,,设备技术方案,30天MVP,骨架,后端,后端数据库,MVP 先查 mock 订单、命令、ACK、审计日志,MVP 只做模型、页面或字段骨架，真实业务闭环需二次评审。,订单状态机、后台看板,MVP 先查 mock 订单、命令、ACK、审计日志,"R16,R23",可直接执行,"按 R16,R23 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/apps/miniprogram/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
10,一卡多人授权,家庭或企业用户一张水卡授权多人使用,来源：六维达康项目资料；需求编号：REQ-009,,六维达康水站项目（需求池完善副本）,P1,客户反馈,收集需求,,,建群,,,用户登录、扫码取水与水卡权益,六维达康水站项目（需求池完善副本）,,用户端,一期,一期重要,可添加/移除授权成员，消费计入同一水卡,REQ-009,水卡授权规则,,会议确认,骨架方案,骨架,产品,飞书协作,补无卡多人授权、额度、有效期、撤销、手机号脱敏,MVP 只做模型、页面或字段骨架，真实业务闭环需二次评审。,会议需求、授权管理,补无卡多人授权、额度、有效期、撤销、手机号脱敏,"R18,R19",可直接执行,"按 R18,R19 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/apps/miniprogram/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
11,收水地址和收货地址分离,分别维护水配送地址和后续商城收货地址,来源：六维达康项目资料；需求编号：REQ-010,,六维达康水站项目（需求池完善副本）,P1,客户反馈,收集需求,,,建群,,,用户登录、扫码取水与水卡权益,六维达康水站项目（需求池完善副本）,,用户端,一期,一期重要,一期水配送使用收水地址，商城地址仅预留,REQ-010,地址字段规则,,正式PRD,骨架方案,否,产品,人工运营,补水配送地址与商城地址分离，商城地址后置,无新增阻塞；按补充验收执行。,地址分离管理,补水配送地址与商城地址分离，商城地址后置,无,需人工确认,先确认业务口径和验收边界；确认前只做模型、页面、字段或文档骨架。,water-station/apps/miniprogram/；water-station/docs/requirements/,人工确认后补充验收用例；当前检查骨架是否与 30 天 MVP 主链路冲突。,需人工确认业务口径、验收边界和是否进入本期。
12,一期水配送下单,用户选择即时、定时或自动补货方式下水配送订单,来源：六维达康项目资料；需求编号：REQ-011,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,用户登录、扫码取水与水卡权益,六维达康水站项目（需求池完善副本）,,用户端,一期,一期必需,可创建水配送订单，水费和配送费分离展示,REQ-011,配送规则、配送范围、配送费,,仓库MVP,骨架方案,骨架,配送,飞书协作,补即时/定时/用户配置自动补货，非 AI 预测,MVP 只做模型、页面或字段骨架，真实业务闭环需二次评审。,配送方案、MVP PRD,补即时/定时/用户配置自动补货，非 AI 预测,R20,可直接执行,按 R20 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/apps/miniprogram/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
