源表行号,任务描述,优先级,关联需求,负责角色,任务执行人,启动日期,交付日期,预计工时（h）,进展,相关附件,③版本 Bug 记录-需求,发布版本-版本主要需求,模块编号
2,项目管理底座与敏捷需求池,高 - P0,"六维达康项目管理总表,敏捷需求池建立",产品经理,,2026-07-05 00:00:00,2026-07-09 00:00:00,32,未开始,,,V1.0,VER-1
3,用户登录、扫码取水与水卡权益,高 - P0,"微信登录与手机号绑定,扫码识别设备和出水口,选择水种和水量,水卡余额与权益校验,购卡充值,消费记录查询,一卡多人授权,收水地址和收货地址分离,一期水配送下单",研发,,2026-07-08 00:00:00,2026-07-18 00:00:00,80,未开始,,,V1.0,VER-2
4,设备档案、水站档案与二维码识别,高 - P0,设备唯一编号和基础档案,研发,,2026-07-08 00:00:00,2026-07-18 00:00:00,80,未开始,,,V1.0,VER-3
5,设备通信协议、心跳状态与故障码,高 - P0,"通信协议接入,MQTT/消息主题规则,设备心跳和在线状态,设备运行状态上报,故障码字典,故障阻断下单,TDS 与水质展示,滤芯寿命和状态,SIM 联网信息,断网补传和消息去重",研发,,2026-07-08 00:00:00,2026-07-22 00:00:00,112,未开始,,,V1.0,VER-4
6,出水指令、指令回执与实际水量,高 - P0,"平台下发开始出水指令,平台下发停止出水指令,指令接收回执,指令执行结果,实际出水量回传,出水不足/超量异常",研发,,2026-07-15 00:00:00,2026-07-29 00:00:00,112,未开始,,,V1.0,VER-5
7,订单流水、异常补偿与后台追溯,高 - P0,"订单管理,财务流水与对账,出水不足/超量异常,后台追溯验收",研发,,2026-07-18 00:00:00,2026-08-01 00:00:00,112,未开始,,,V1.0,VER-6
8,微信支付、退款与分账闭环,高 - P0,"微信小程序 JSAPI 支付,支付回调验签与幂等,退款和退款回调,分账能力,售水分账,配送分账",研发,,2026-07-15 00:00:00,2026-08-05 00:00:00,168,未开始,,,V1.0,VER-7
9,一期水配送、拍照签收与申诉,高 - P0,"水配送接单与配送,拍照签收,用户 24 小时申诉",研发,,2026-07-22 00:00:00,2026-08-05 00:00:00,112,未开始,,,V1.0,VER-8
10,后台管理、权限日志与经营看板,高 - P0,"机主经营看板,设备状态监控,报修售后与配件申请,用户管理,水站管理,设备管理,水种、价格、套餐配置,订单管理,财务流水与对账,操作日志和权限",研发,,2026-07-18 00:00:00,2026-08-08 00:00:00,168,未开始,,,V1.0,VER-9
11,硬件接口确认与联调资源准备,高 - P0,"设备唯一编号和基础档案,通信协议接入,MQTT/消息主题规则,设备心跳和在线状态,设备运行状态上报,故障码字典,故障阻断下单,TDS 与水质展示,滤芯寿命和状态,SIM 联网信息,断网补传和消息去重,测试样机和测试环境",产品经理,,2026-07-05 00:00:00,2026-07-22 00:00:00,136,未开始,,,V1.0,VER-10
